,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200
"0,1,A,""Agilent Technologies, Inc."",Healthcare,Diagnostics & Research,USA,44.89B,36.74,144.68,-0.34%,""2,198,417"",S&P 500,3.94,0.20%,302.00M,-0.32%,27.08,10.37%,-19.27%,301.14M,-6.24%,1.21B,2.62,1.18,90.70%,1.42%,-5.60%,6.32B,7.10,71.00%,0.22%,2.66,-1.97%,17.90,8.08,11.70%,175.32,14.63%,5.08,28.50,14.00%,24.30%,112.47 - 179.57,-9.38%,0.84,42.31,22.90%,14.70%,-19.43%,1.01,0.58%,1.70,8.50%,53.90%,28.64%,3.77,17000,2.20,11.90%,21.30%,36.66,2.49% 2.41%,Yes,0.51,102.30%,19.10%,1.37,145.17,Yes,0.51,Nov 22 AMC,19.10%,1.61M,-,-5.35%,-6.62%,-4.35%"
"1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,10.76B,14.29,61.39,1.45%,""4,268,412"",-,4.29,0.10%,187.00M,-1.57%,9.54,3.26%,-51.17%,184.17M,20.44%,817.00M,-,1.77,77.40%,8.01%,9.62%,11.20B,0.96,85.00%,0.04%,1.71,94.15%,20.74,2.96,5.60%,59.66,163.70%,8.28,7.41,-,23.00%,17.30 - 64.37,3.04%,0.40,239.20,28.00%,5.60%,-4.63%,2.44,0.65%,0.90,-3.70%,22.00%,254.86%,2.83,12900,1.50,31.50%,12.60%,63.09,4.63% 4.54%,Yes,0.44,769.80%,7.30%,0.49,60.51,Yes,0.44,Jan 19 AMC,0.00%,8.63M,1.80,4.43%,17.24%,40.41%"
"2,3,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,11.53B,-,18.49,-4.40%,""44,537,940"",S&P 500,-5.50,0.50%,648.56M,-4.10%,-,98.70%,0.00%,641.17M,8.83%,-3240.00M,-,-1.79,56.40%,14.66%,-7.46%,24.48B,0.47,-583.80%,0.05%,2.67,-2.53%,-11.47,-,-4.80%,19.00,17.32%,23.31,0.79,16.09%,43.30%,15.02 - 26.09,2.95%,-,-,-29.60%,-30.50%,-29.13%,1.64,-,0.90,-15.80%,54.10%,23.10%,0.83,102700,1.00,182.70%,-11.40%,49.87,4.31% 4.35%,Yes,-,105.40%,-13.20%,1.27,19.34,Yes,-,Jan 20 BMO,-,35.18M,3.10,1.00%,-1.53%,-10.24%"
"3,4,AAON,""AAON, Inc."",Industrials,Building Products & Equipment,USA,3.86B,53.57,71.46,-0.90%,""247,515"",-,1.33,0.30%,52.42M,-3.51%,42.28,34.88%,-22.22%,41.56M,-9.33%,71.50M,4.46,0.28,71.20%,2.84%,2.09%,514.90M,7.50,45.90%,0.02%,6.15,17.01%,7.64,9.35,14.60%,71.00,1.45%,1.88,37.92,12.00%,19.00%,59.22 - 83.79,-10.03%,0.38,109.98,12.10%,22.10%,-14.72%,0.57,0.53%,2.20,7.50%,28.20%,20.67%,2.14,2268,3.60,2.80%,17.40%,29.02,3.10% 2.72%,Yes,0.02,-24.40%,13.90%,1.29,72.11,Yes,0.02,Nov 04 AMC,27.80%,191.57K,3.00,-7.31%,-7.83%,3.52%"
"4,5,AAP,""Advance Auto Parts, Inc."",Consumer Cyclical,Specialty Retail,USA,15.16B,24.25,239.60,-0.71%,""386,221"",S&P 500,9.88,0.10%,62.85M,0.63%,18.14,11.18%,-5.24%,62.08M,0.19%,646.40M,1.45,1.91,-,4.49%,11.22%,10.97B,1.38,4.40%,-0.04%,4.33,16.50%,50.86,4.71,5.50%,258.94,44.99%,9.55,25.08,16.70%,19.10%,143.15 - 244.55,-0.12%,4.00,23.03,2.20%,11.80%,-2.02%,1.26,1.67%,0.30,0.70%,45.10%,67.38%,5.39,40000,1.20,3.10%,8.00%,54.78,1.97% 2.10%,Yes,0.00,25.90%,5.90%,0.60,241.32,Yes,0.32,Nov 15 AMC,25.10%,645.00K,2.20,1.46%,2.48%,12.89%"
"5,6,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2836.65B,30.87,173.07,0.51%,""80,319,643"",DJIA S&P500,5.61,0.07%,16.49B,0.52%,28.01,7.56%,-20.13%,16.39B,-3.47%,94.68B,1.97,1.88,58.90%,0.58%,19.49%,365.82B,7.75,71.40%,0.12%,1.05,21.50%,3.83,45.19,27.60%,176.01,36.13%,3.82,45.29,15.68%,144.10%,116.21 - 182.94,-2.53%,0.88,36.14,22.00%,50.00%,-5.40%,1.21,0.51%,1.00,11.10%,41.80%,48.93%,4.03,154000,1.10,28.80%,29.80%,50.34,2.17% 2.19%,Yes,1.99,68.20%,25.90%,0.88,172.19,Yes,1.74,Jan 27 AMC,15.00%,91.13M,1.80,-1.35%,3.83%,18.24%"
"6,7,AAT,""American Assets Trust, Inc."",Real Estate,REIT - Diversified,USA,2.34B,100.73,38.88,0.31%,""240,806"",-,0.39,0.80%,59.99M,0.75%,48.30,111.84%,300.78%,59.50M,9.52%,23.10M,33.58,0.12,98.50%,1.32%,-1.57%,355.40M,6.59,-45.30%,-0.05%,3.22,11.12%,20.75,1.87,0.80%,39.30,34.35%,2.85,13.62,3.00%,1.80%,27.21 - 40.83,3.60%,1.20,-,-11.70%,3.30%,-4.78%,1.23,3.09%,-,4.60%,65.00%,42.89%,0.88,203,-,16.50%,24.30%,63.98,2.18% 2.14%,Yes,1.32,99.00%,6.50%,0.98,38.76,Yes,1.32,Oct 26 AMC,287.80%,244.94K,2.60,4.46%,4.55%,4.75%"
"7,8,AAWW,""Atlas Air Worldwide Holdings, Inc."",Industrials,Airports & Air Services,USA,2.41B,4.82,82.21,-5.03%,""872,038"",-,17.07,0.40%,29.02M,-6.84%,6.35,-26.13%,-39.77%,27.19M,-6.43%,500.50M,0.48,6.05,-,17.89%,4.46%,3.80B,0.63,218.90%,0.03%,9.21,29.61%,90.42,0.91,8.20%,105.57,54.36%,-,-,10.00%,20.50%,51.01 - 97.13,-12.65%,-,3.26,115.40%,7.80%,-15.36%,1.13,-,0.80,12.00%,57.00%,61.16%,2.90,4061,0.80,25.50%,16.90%,33.07,3.54% 3.10%,Yes,0.90,40.70%,13.20%,1.65,86.56,Yes,0.64,Nov 03 BMO,0.00%,528.29K,2.00,-9.11%,-7.63%,7.18%"
"8,9,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4.80B,14.28,50.42,-0.18%,""240,730"",-,3.53,5.02%,99.41M,3.70%,13.12,7.22%,0.00%,93.80M,5.35%,353.90M,-,0.98,13.70%,1.06%,-3.34%,383.70M,12.52,15.90%,-0.15%,3.50,13.69%,15.57,3.24,22.10%,56.20,43.48%,0.00,-,-3.88%,22.20%,34.32 - 57.54,3.24%,3.58,-,9.30%,17.40%,-12.37%,1.43,7.10%,-,8.00%,-,46.91%,1.49,3929,-,29.80%,100.00%,53.98,3.40% 2.81%,Yes,0.00,28.30%,92.20%,0.85,50.51,Yes,0.00,Oct 28 BMO,95.70%,284.14K,2.30,3.94%,-2.01%,4.10%"
"9,10,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,77.19B,36.87,37.35,-1.58%,""1,836,169"",-,1.01,-,2.00B,-1.97%,22.64,17.02%,-,1.89B,1.52%,2.06B,2.53,0.40,6.10%,0.08%,8.29%,28.56B,2.70,-71.60%,0.03%,1.09,8.51%,6.97,5.36,4.60%,40.57,27.26%,2.21,16.92,14.60%,12.80%,28.61 - 39.11,-2.15%,0.87,73.87,-30.70%,4.30%,-4.50%,1.06,2.33%,0.80,-5.90%,32.70%,30.53%,0.67,105600,1.10,6.80%,11.10%,49.53,1.42% 1.16%,Yes,0.48,235.20%,6.40%,1.26,37.95,Yes,0.31,Feb 03 BMO,90.70%,1.46M,2.20,-1.34%,2.64%,6.45%"
"10,11,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,240.83B,32.34,135.87,1.76%,""10,433,653"",S&P 500,4.20,0.10%,1.77B,0.73%,9.71,10.39%,-22.56%,1.77B,4.33%,7.46B,7.19,3.28,68.30%,0.94%,24.28%,55.17B,4.37,-48.50%,0.01%,2.63,17.72%,7.66,17.74,5.00%,137.37,22.94%,6.91,19.66,4.50%,56.40%,101.81 - 138.15,0.35%,5.64,19.07,-2.80%,12.70%,-1.65%,0.82,4.15%,0.90,14.90%,67.90%,33.45%,2.35,50000,1.00,11.20%,30.10%,63.44,1.79% 1.58%,Yes,5.96,37.60%,13.50%,1.65,133.52,Yes,5.46,Feb 02 BMO,120.40%,6.31M,2.00,1.26%,8.64%,17.18%"
